"filename", "language", "SCSS", "TypeScript React", "TypeScript", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\percents.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\person.svg", "XML", 0, 0, 0, 0, 16, 0, 1, 0, 17
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\plane.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\planeHover.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\question.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\quiet.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\rollercoster.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\rules.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\taxi.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\assets\world.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Accordion\index.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\BarSimple\index.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Bar\index.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Breadcrumb\index.tsx", "TypeScript React", 0, 101, 0, 0, 0, 0, 0, 4, 105
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Button\index.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Calendar\build.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Calendar\header.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Calendar\index.tsx", "TypeScript React", 0, 56, 0, 0, 0, 0, 0, 6, 62
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Calendar\styles.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card1\index.tsx", "TypeScript React", 0, 33, 0, 0, 0, 0, 0, 6, 39
